순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
60,071050,한국금융지주,"72,600","400","0.6","142,711","10,319,441,900","72,000","72,600","71,700","4,045,707,019,200","0.24","55,725,992",,,
61,023530,롯데쇼핑,"137,500","1,500","1.1","99,939","13,760,696,500","137,000","139,000","136,000","3,889,703,812,500","0.23","28,288,755",,,
62,005830,DB손해보험,"54,800","-2,600","-4.5","404,523","22,198,067,300","57,400","57,500","54,200","3,879,840,000,000","0.23","70,800,000",,,
63,028050,삼성엔지니어링,"19,500","200","1.0","576,557","11,188,416,700","19,450","19,500","19,150","3,822,000,000,000","0.22","196,000,000",,,
64,139480,이마트,"132,500","500","0.4","111,187","14,657,590,000","132,500","132,500","130,500","3,693,546,017,500","0.21","27,875,819",,,
65,005940,NH투자증권,"13,100","100","0.8","724,305","9,473,500,950","13,100","13,150","12,950","3,686,456,419,700","0.21","281,408,887",,,
66,097950,CJ제일제당,"241,500","500","0.2","90,727","21,925,926,000","242,500","244,000","240,500","3,635,585,919,000","0.21","15,054,186",,,
67,012750,에스원,"95,400","-800","-0.8","53,841","5,147,818,400","97,000","97,000","95,400","3,625,121,581,200","0.21","37,999,178",,,
68,241560,두산밥캣,"35,450","1,450","4.3","179,380","6,248,237,100","34,350","35,450","33,750","3,553,832,934,700","0.21","100,249,166",,,
69,036460,한국가스공사,"38,350","-300","-0.8","247,664","9,544,815,850","38,650","38,850","38,350","3,540,203,550,000","0.21","92,313,000",,,
70,000120,CJ대한통운,"153,500","1,500","1.0","40,208","6,147,915,226","153,500","153,500","151,500","3,501,694,804,000","0.20","22,812,344",,,
71,016360,삼성증권,"39,200","500","1.3","318,550","12,450,549,650","38,800","39,250","38,700","3,500,560,000,000","0.20","89,300,000",,,
72,128940,한미약품,"299,500","-500","-0.2","27,353","8,198,236,000","300,500","301,000","298,500","3,477,849,108,000","0.20","11,612,184",,,
73,035760,CJ ENM,"154,500","-700","-0.4","65,147","10,144,018,000","155,800","156,700","154,500","3,388,054,293,000","0.20","21,929,154",,,
74,008770,호텔신라,"86,100","500","0.6","264,830","22,780,303,200","86,000","86,700","85,600","3,379,263,218,100","0.20","39,248,121",,,
75,047810,한국항공우주,"34,350","250","0.7","370,922","12,683,932,150","34,200","34,550","33,950","3,348,269,925,450","0.19","97,475,107",,,
76,081660,휠라코리아,"52,700","500","1.0","304,123","15,977,197,400","52,500","52,900","52,100","3,220,764,189,000","0.19","61,115,070",,,
77,011070,LG이노텍,"136,000","4,000","3.0","172,510","23,274,288,500","132,500","136,500","132,000","3,218,726,552,000","0.19","23,667,107",,,
78,000210,대림산업,"91,600","1,500","1.7","147,071","13,387,991,600","90,200","92,200","89,700","3,187,680,000,000","0.19","34,800,000",,,
79,009830,한화케미칼,"19,200","550","3.0","970,396","18,513,340,200","18,700","19,350","18,650","3,100,402,368,000","0.18","161,479,290",,,
80,000100,유한양행,"241,500","3,500","1.5","43,307","10,426,632,000","238,500","242,000","238,500","3,085,673,272,500","0.18","12,777,115",,,
81,005387,현대차2우B,"82,700","-500","-0.6","108,777","9,033,315,300","83,900","83,900","82,700","3,017,346,797,700","0.18","36,485,451",,,
82,007070,GS리테일,"38,800","-500","-1.3","152,658","5,947,526,050","39,700","39,700","38,800","2,987,600,000,000","0.17","77,000,000",,,
83,042660,대우조선해양,"27,650","-50","-0.2","106,055","2,932,758,200","27,700","27,900","27,450","2,964,239,042,800","0.17","107,205,752",,,
84,003670,포스코케미칼,"47,450","300","0.6","185,653","8,796,113,400","47,350","47,750","47,050","2,893,891,039,000","0.17","60,988,220",,,
85,003410,쌍용양회,"5,680","50","0.9","699,162","3,977,472,490","5,660","5,720","5,640","2,861,922,499,600","0.17","503,859,595",,,
86,004170,신세계,"287,000","-3,500","-1.2","39,901","11,495,896,500","291,500","292,000","287,000","2,825,566,947,000","0.16","9,845,181",,,
87,030000,제일기획,"24,550","50","0.2","137,855","3,390,382,250","24,650","24,850","24,450","2,824,262,073,750","0.16","115,041,225",,,
88,282330,BGF리테일,"163,000","-500","-0.3","52,909","8,648,511,000","164,500","165,500","162,000","2,817,276,678,000","0.16","17,283,906",,,
89,001040,CJ,"96,300","300","0.3","71,891","6,910,537,100","96,100","96,700","95,300","2,809,744,907,400","0.16","29,176,998",,,
90,003490,대한항공,"27,800","50","0.2","370,844","10,284,791,050","27,750","28,100","27,250","2,636,680,825,200","0.15","94,844,634",,,
91,138930,BNK금융지주,"7,890","30","0.4","884,346","6,944,504,650","7,870","7,890","7,750","2,571,629,090,940","0.15","325,935,246",,,
92,006360,GS건설,"31,750","300","1.0","241,631","7,622,351,200","31,600","31,750","31,200","2,543,105,277,000","0.15","80,097,804",,,
93,028670,팬오션,"4,645","145","3.2","2,555,789","11,792,065,600","4,555","4,660","4,530","2,483,073,966,515","0.14","534,569,207",,,
94,001450,현대해상,"27,750","-1,350","-4.6","491,873","13,681,742,750","29,200","29,200","27,500","2,480,850,000,000","0.14","89,400,000",,,
95,008930,한미사이언스,"38,000","200","0.5","54,859","2,075,439,100","37,750","38,000","37,550","2,460,228,680,000","0.14","64,742,860",,,
96,002380,KCC,"232,500","-3,500","-1.5","52,225","12,305,509,500","236,000","241,000","232,500","2,454,389,272,500","0.14","10,556,513",,,
97,008560,메리츠종금증권,"3,920","5","0.1","2,219,816","8,697,550,490","3,915","3,975","3,885","2,419,857,947,920","0.14","617,310,701",,,
98,079440,오렌지라이프,"29,500","0","0.0","432,466","12,734,549,900","29,650","29,700","29,250","2,419,000,000,000","0.14","82,000,000",,,
